kW,t1,t2,V
0.768,78.0,82.0,384
0.384,78.0,82.0,384
1.1400000000000001,78.0,82.0,380
0.0,78.0,82.0,384
5.984,78.0,82.0,374
7.42,78.0,82.0,371
0.384,78.0,82.0,384
7.106,78.0,82.0,374
5.595,78.0,82.0,373
6.678,78.0,82.0,371
8.118,78.0,82.0,369
0.0,78.0,82.0,384
6.324,80.0,82.0,372
5.61,80.0,82.0,374
6.678,80.0,82.0,371
6.696,78.0,82.0,372
7.4,78.0,82.0,370
7.4,78.0,82.0,370
8.464,80.0,82.0,368
9.516,80.0,82.0,366
10.192,80.0,82.0,364
2.31,80.0,82.0,385
8.14,80.0,82.0,370
