kW,t1,t2
6.341,78.0,80.0
7.42,78.0,80.0
0.0,78.0,80.0
0.0,78.0,80.0
1.149,78.0,80.0
0.0,78.0,80.0
0.0,78.0,80.0
2.6670000000000003,78.0,80.0
3.04,78.0,80.0
0.77,77.0,80.0
4.158,77.0,80.0
5.64,77.0,80.0
6.714,78.0,80.0
7.791,78.0,80.0
8.88,78.0,80.0
9.936,78.0,80.0
0.0,78.0,80.0
5.25,78.0,80.0
7.0680000000000005,78.0,80.0
0.385,78.0,80.0
5.25,78.0,80.0
6.696,78.0,80.0
7.4,78.0,82.0
8.832,78.0,82.0
8.832,78.0,82.0
9.15,78.0,82.0
10.22,78.0,82.0
0.768,78.0,82.0
0.384,78.0,82.0
1.1400000000000001,78.0,82.0
0.0,78.0,82.0
5.984,78.0,82.0
7.42,78.0,82.0
0.384,78.0,82.0
7.106,78.0,82.0
5.595,78.0,82.0
6.678,78.0,82.0
8.118,78.0,82.0
0.0,78.0,82.0
6.324,80.0,82.0
5.61,80.0,82.0
6.678,80.0,82.0
6.696,78.0,82.0
7.4,78.0,82.0
7.4,78.0,82.0
8.464,80.0,82.0
9.516,80.0,82.0
10.192,80.0,82.0
2.31,80.0,82.0
8.14,80.0,82.0
7.03,80.0,82.0
6.66,80.0,82.0
0.0,80.0,82.0
6.66,80.0,82.0
8.096,80.0,82.0
8.784,80.0,82.0
0.0,80.0,82.0
9.15,80.0,82.0
10.192,80.0,82.0
0.0,80.0,82.0
0.0,78.0,82.0
1.155,78.0,82.0
6.714,78.0,82.0
5.222,80.0,82.0
7.03,80.0,82.0
0.382,80.0,82.0
0.382,80.0,82.0
6.307,80.0,82.0
6.66,80.0,82.0
8.074,80.0,82.0
0.0,80.0,82.0
1.1400000000000001,80.0,82.0
4.862,80.0,82.0
5.952,80.0,82.0
6.324,80.0,82.0
5.58,80.0,82.0
5.936,80.0,82.0
5.936,80.0,82.0
7.011,80.0,82.0
8.096,80.0,82.0
9.125,80.0,82.0
9.828,80.0,82.0
0.0,80.0,84.0
3.384,80.0,84.0
5.208,80.0,84.0
0.382,80.0,84.0
6.29,80.0,84.0
7.36,82.0,84.0
8.418000000000001,82.0,84.0
9.125,82.0,84.0
0.0,80.0,84.0
8.418000000000001,80.0,84.0
9.464,80.0,84.0
0.381,82.0,84.0
7.707,82.0,84.0
0.0,82.0,84.0
0.379,82.0,84.0
7.011,82.0,84.0
1.92,82.0,84.0
0.0,82.0,84.0
5.222,82.0,84.0
5.92,82.0,84.0
7.011,78.0,84.0
1.92,78.0,84.0
0.0,78.0,84.0
0.0,80.0,84.0
5.936,80.0,84.0
0.0,80.0,84.0
4.836,82.0,84.0
0.0,82.0,84.0
5.208,82.0,84.0
6.66,82.0,84.0
7.36,82.0,82.0
8.784,82.0,82.0
9.464,82.0,82.0
1.915,82.0,84.0
0.0,82.0,84.0
5.565,82.0,84.0
4.849,82.0,84.0
0.0,82.0,84.0
5.58,82.0,84.0
5.92,82.0,84.0
6.992,82.0,84.0
8.052,82.0,84.0
8.76,82.0,84.0
8.76,82.0,84.0
9.828,82.0,84.0
10.498,82.0,84.0
1.508,82.0,84.0
6.642,82.0,84.0
0.0,82.0,84.0
0.0,82.0,84.0
5.92,82.0,84.0
1.131,82.0,84.0
0.0,82.0,84.0
0.764,82.0,84.0
5.92,82.0,84.0
6.992,82.0,84.0
3.357,82.0,84.0
0.38,82.0,84.0
0.76,82.0,84.0
5.208,82.0,84.0
0.0,82.0,84.0
4.114,82.0,84.0
0.0,82.0,84.0
5.92,82.0,86.0
7.728,82.0,86.0
8.074,82.0,86.0
8.76,82.0,86.0
10.136000000000001,82.0,86.0
0.0,82.0,86.0
0.0,82.0,82.0
1.8900000000000001,82.0,82.0
4.103,82.0,82.0
0.0,82.0,86.0
5.55,82.0,86.0
6.992,82.0,86.0
8.052,82.0,84.0
6.324,82.0,84.0
12.012,82.0,84.0
8.418000000000001,82.0,86.0
9.464,82.0,86.0
10.469,82.0,86.0
0.0,82.0,86.0
6.992,82.0,86.0
1.137,84.0,86.0
6.273,84.0,86.0
6.992,84.0,86.0
0.0,82.0,86.0
7.36,82.0,86.0
5.55,82.0,86.0
6.606,82.0,86.0
7.686,82.0,86.0
0.0,82.0,86.0
0.0,82.0,86.0
5.55,82.0,86.0
0.762,82.0,86.0
3.74,82.0,86.0
2.632,82.0,86.0
6.273,82.0,86.0
7.34,84.0,86.0
8.395,84.0,86.0
9.438,84.0,86.0
10.108,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
5.55,84.0,86.0
0.754,84.0,86.0
4.476,84.0,86.0
5.535,82.0,86.0
6.606,82.0,86.0
7.686,82.0,86.0
8.372,84.0,86.0
8.372,84.0,86.0
1.52,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
0.0,84.0,86.0
