kW,V,I,t1
0.8826300000000001,420.3,2.1,31.0
2.47741,419.9,5.9,31.0
2.38944,419.2,5.7,31.0
1.5105600000000001,419.6,3.6,31.0
1.0505,420.2,2.5,31.0
0.67248,420.3,1.6,31.0
0.5886999999999999,420.5,1.4,31.0
0.46266000000000007,420.6,1.1,31.0
0.54678,420.6,1.3,31.0
0.6309000000000001,420.6,1.5,31.0
0.58884,420.6,1.4,31.0
0.6728000000000001,420.5,1.6,31.0
0.6728000000000001,420.5,1.6,31.0
0.7567200000000001,420.4,1.8,31.0
0.6728000000000001,420.5,1.6,31.0
0.7569,420.5,1.8,31.0
0.7987599999999999,420.4,1.9,31.0
0.7987599999999999,420.4,1.9,31.0
0.71468,420.4,1.7,31.0
0.8408,420.4,2.0,31.0
1.13481,420.3,2.7,31.0
1.2603000000000002,420.1,3.0,31.0
1.30231,420.1,3.1,31.0
1.3443200000000002,420.1,3.2,31.0
1.5956199999999998,419.9,3.8,31.0
1.42766,419.9,3.4,31.0
1.59524,419.8,3.8,31.0
1.59524,419.8,3.8,31.0
1.59524,419.8,3.8,31.0
1.59524,419.8,3.8,31.0
1.46965,419.9,3.5,31.0
1.5956199999999998,419.9,3.8,31.0
1.5536299999999998,419.9,3.7,31.0
1.5116399999999999,419.9,3.6,31.0
1.5956199999999998,419.9,3.8,31.0
1.42766,419.9,3.4,31.0
1.5532600000000003,419.8,3.7,31.0
1.1337300000000001,419.9,2.7,31.0
1.2603000000000002,420.1,3.0,31.0
1.2603000000000002,420.1,3.0,31.0
1.26,420.0,3.0,31.0
1.26,420.0,3.0,31.0
1.386,420.0,3.3,31.0
1.302,420.0,3.1,31.0
1.218,420.0,2.9,31.0
1.302,420.0,3.1,31.0
1.344,420.0,3.2,31.0
1.344,420.0,3.2,31.0
1.344,420.0,3.2,31.0
1.344,420.0,3.2,31.0
1.26,420.0,3.0,31.0
1.134,420.0,2.7,31.0
1.1342700000000001,420.1,2.7,31.0
1.092,420.0,2.6,31.0
1.05025,420.1,2.5,31.0
1.09226,420.1,2.6,31.0
0.9664599999999999,420.2,2.3,31.0
1.05025,420.1,2.5,31.0
1.0505,420.2,2.5,31.0
1.0084799999999998,420.2,2.4,31.0
0.7565400000000001,420.3,1.8,31.0
0.37845,420.5,0.9,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.37863,420.7,0.9,31.0
0.6309000000000001,420.6,1.5,31.0
0.58856,420.4,1.4,31.0
0.8828400000000001,420.4,2.1,31.0
0.71468,420.4,1.7,31.0
0.29449,420.7,0.7,31.0
0.29449,420.7,0.7,31.0
0.08418,420.9,0.2,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.2104,420.8,0.5,31.0
0.12624,420.8,0.3,31.0
0.2104,420.8,0.5,31.0
0.12627,420.9,0.3,31.0
0.16832000000000003,420.8,0.4,31.0
0.12624,420.8,0.3,31.0
0.16832000000000003,420.8,0.4,31.0
0.12627,420.9,0.3,31.0
0.12627,420.9,0.3,31.0
0.21045,420.9,0.5,31.0
0.25248,420.8,0.6,31.0
0.25248,420.8,0.6,31.0
0.16832000000000003,420.8,0.4,31.0
0.12627,420.9,0.3,31.0
0.16836,420.9,0.4,31.0
0.12627,420.9,0.3,31.0
0.16832000000000003,420.8,0.4,31.0
0.16836,420.9,0.4,31.0
0.16836,420.9,0.4,31.0
0.12627,420.9,0.3,31.0
0.12627,420.9,0.3,31.0
0.16836,420.9,0.4,31.0
0.29456,420.8,0.7,31.0
0.5047200000000001,420.6,1.2,31.0
0.5047200000000001,420.6,1.2,31.0
0.42069999999999996,420.7,1.0,31.0
0.37863,420.7,0.9,31.0
0.37863,420.7,0.9,31.0
0.42069999999999996,420.7,1.0,31.0
0.42069999999999996,420.7,1.0,31.0
0.42069999999999996,420.7,1.0,31.0
0.42069999999999996,420.7,1.0,31.0
0.50484,420.7,1.2,31.0
0.46277,420.7,1.1,31.0
0.54678,420.6,1.3,31.0
0.58884,420.6,1.4,31.0
0.6309000000000001,420.6,1.5,31.0
0.71485,420.5,1.7,31.0
0.9669199999999999,420.4,2.3,31.0
1.30262,420.2,3.1,31.0
1.26,420.0,3.0,31.0
1.30231,420.1,3.1,31.0
1.1342700000000001,420.1,2.7,31.0
1.2182899999999999,420.1,2.9,31.0
1.17628,420.1,2.8,31.0
1.2182899999999999,420.1,2.9,31.0
1.3443200000000002,420.1,3.2,31.0
1.386,420.0,3.3,31.0
1.46965,419.9,3.5,31.0
1.6796,419.9,4.0,31.0
1.5532600000000003,419.8,3.7,31.0
1.6372200000000001,419.8,3.9,31.0
1.59524,419.8,3.8,31.0
1.5532600000000003,419.8,3.7,31.0
1.51128,419.8,3.6,31.0
1.59524,419.8,3.8,31.0
1.5956199999999998,419.9,3.8,31.0
1.59524,419.8,3.8,31.0
1.5532600000000003,419.8,3.7,31.0
1.5532600000000003,419.8,3.7,31.0
1.59524,419.8,3.8,31.0
1.59524,419.8,3.8,31.0
1.5532600000000003,419.8,3.7,31.0
1.59524,419.8,3.8,31.0
1.34368,419.9,3.2,31.0
0.58828,420.2,1.4,31.0
0.67264,420.4,1.6,31.0
0.8828400000000001,420.4,2.1,31.0
0.9666899999999999,420.3,2.3,31.0
1.09252,420.2,2.6,31.0
1.0084799999999998,420.2,2.4,31.0
0.92444,420.2,2.2,31.0
0.9664599999999999,420.2,2.3,31.0
1.0505,420.2,2.5,31.0
0.9664599999999999,420.2,2.3,31.0
0.92444,420.2,2.2,31.0
0.92466,420.3,2.2,31.0
0.88242,420.2,2.1,31.0
0.8826300000000001,420.3,2.1,31.0
0.8826300000000001,420.3,2.1,31.0
0.92444,420.2,2.2,31.0
1.0084799999999998,420.2,2.4,31.0
0.9664599999999999,420.2,2.3,31.0
1.0084799999999998,420.2,2.4,31.0
1.0084799999999998,420.2,2.4,31.0
1.0505,420.2,2.5,31.0
0.88242,420.2,2.1,31.0
1.0505,420.2,2.5,31.0
1.0084799999999998,420.2,2.4,31.0
1.1342700000000001,420.1,2.7,31.0
1.1342700000000001,420.1,2.7,31.0
1.47,420.0,3.5,31.0
1.3856699999999997,419.9,3.3,31.0
1.51128,419.8,3.6,31.0
1.46965,419.9,3.5,31.0
1.42766,419.9,3.4,31.0
1.42732,419.8,3.4,31.0
1.4693,419.8,3.5,31.0
1.42766,419.9,3.4,31.0
1.51128,419.8,3.6,31.0
1.51128,419.8,3.6,31.0
1.51128,419.8,3.6,31.0
1.51128,419.8,3.6,31.0
1.4693,419.8,3.5,31.0
1.5532600000000003,419.8,3.7,31.0
1.38534,419.8,3.3,31.0
0.9240000000000002,420.0,2.2,31.0
0.88242,420.2,2.1,31.0
0.96623,420.1,2.3,31.0
0.9242200000000002,420.1,2.2,31.0
0.7565400000000001,420.3,1.8,31.0
0.92444,420.2,2.2,31.0
0.8403999999999999,420.2,2.0,31.0
0.8406,420.3,2.0,31.0
0.9664599999999999,420.2,2.3,31.0
0.88242,420.2,2.1,31.0
0.88242,420.2,2.1,31.0
0.46244,420.4,1.1,31.0
0.0,420.8,0.0,31.0
0.0,420.9,0.0,31.0
0.16832000000000003,420.8,0.4,31.0
0.16832000000000003,420.8,0.4,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.08416000000000001,420.8,0.2,31.0
0.12624,420.8,0.3,31.0
0.16832000000000003,420.8,0.4,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.12624,420.8,0.3,31.0
0.21034999999999998,420.7,0.5,31.0
0.21034999999999998,420.7,0.5,31.0
0.16832000000000003,420.8,0.4,31.0
0.2104,420.8,0.5,31.0
0.2104,420.8,0.5,31.0
0.21034999999999998,420.7,0.5,31.0
0.29449,420.7,0.7,31.0
0.5045999999999999,420.5,1.2,31.0
0.5045999999999999,420.5,1.2,31.0
0.46266000000000007,420.6,1.1,31.0
0.46266000000000007,420.6,1.1,31.0
0.54678,420.6,1.3,31.0
0.5886999999999999,420.5,1.4,31.0
0.7565400000000001,420.3,1.8,31.0
0.8406,420.3,2.0,31.0
0.7565400000000001,420.3,1.8,31.0
0.71468,420.4,1.7,31.0
0.7987599999999999,420.4,1.9,31.0
0.7565400000000001,420.3,1.8,31.0
0.7985699999999999,420.3,1.9,31.0
1.0505,420.2,2.5,31.0
1.2182899999999999,420.1,2.9,31.0
1.09226,420.1,2.6,31.0
1.17628,420.1,2.8,31.0
1.1342700000000001,420.1,2.7,31.0
1.05025,420.1,2.5,31.0
1.09226,420.1,2.6,31.0
1.17628,420.1,2.8,31.0
1.26,420.0,3.0,31.0
1.428,420.0,3.4,31.0
1.5532600000000003,419.8,3.7,31.0
1.8882,419.6,4.5,31.0
1.8462400000000003,419.6,4.4,31.0
1.76232,419.6,4.2,31.0
1.8462400000000003,419.6,4.4,31.0
1.8042799999999999,419.6,4.3,31.0
1.72036,419.6,4.1,31.0
1.63683,419.7,3.9,31.0
1.51092,419.7,3.6,31.0
1.59524,419.8,3.8,31.0
1.5944800000000001,419.6,3.8,31.0
1.59486,419.7,3.8,31.0
1.59486,419.7,3.8,31.0
1.59486,419.7,3.8,31.0
1.5944800000000001,419.6,3.8,31.0
1.9296999999999997,419.5,4.6,31.0
1.9296999999999997,419.5,4.6,31.0
1.9296999999999997,419.5,4.6,31.0
2.5151999999999997,419.2,6.0,31.0
